Samasthitiḥ, Mountain Pose
Tāḍāsana, Mountain Pose (alternate)
Sūryanamaskāra, Sun Salutation
Padāṇguṣṭhāsana, (hold) Toes of Feet Pose
Padahastāsana, Feet (over) Hands Pose
Utthita Trikoṇāsana, Extended Triangle Pose
Parivṛtta Trikoṇāsana, Revolved Triangle Pose
Utthita Pārśvakoṇāsa, Extended Side Angle Pose
Parivṛtta Pārśvakoṇāsana, Revolved Side Angle Pose
Prasārita Pādottānāsana, Wide Stance Forward Bend Pose
Pārśvottānāsana, Intense Side Stretch Pose
Utthita Hasta Pādāṅguṣṭhāsana, Extended (hold) Toes of Feet Pose
Ardha Baddha Padmottānāsana, Intense Half-bound Lotus Pose
Utkaṭāsana, Chair Pose
Vīrabhadrāsana, Powerful Warrior Pose
Daṇḍāsana, Staff Pose
Paścimottānāsana, Intense Forward Stretch
Pūrvottānāsana, Upward Plank Pose
Ardha Baddha Padma Paścimottānāsana, Half-bound Lotus Forward Stretch
Jānu Śirṣāsana, Head to Knee Pose
Marīcyāsana, Pose of Sage Marīci
Navāsana, Boat Pose
Supta Hasta Pādāṅguṣṭhāsana, Supine (hold) of Toe of Foot Pose
Ubhaya Pādāṅguṣṭhāsana, Two-sided Seated Toe Hold Pose
Ūrdva Mukha Paścimottānāsana, Upward Seated Toe Hold Pose
Setu Bandhāsana, Bridge Pose
Ūrdva Dhanurāsana, Upward Facing Bow Pose
Bharadvājāsana, Bharadvaja (Seated Spinal) Twist Pose
Sarvāṅgāsana, Shoulder Stand Pose
Matsyāsana, Fish Pose
Padmāsana, Lotus Pose
Sukhāsana, Easy Pose
